Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Running Total ($ with Tax)
XIAO ESP32 C3,MCU,1,$4.34,$4.34,https://www.aliexpress.us/item/3256808605622611.html,$4.34
Display,s,1,$2.46,$2.46,https://www.aliexpress.us/item/3256807544901434.html,$6.80
Headers,Headers,1,$1.57,$1.57,https://www.aliexpress.us/item/3256811506646304.html,$8.37
Buzzer,12*9.5mm,1,$2.23,$2.23,https://www.aliexpress.us/item/3256810135642750.html,$10.60
Button,4.5X4.5MM Button,1,$2.01,$2.01,https://www.aliexpress.us/item/3256806953793236.html,$12.61
Threaded Inserts,M3X4X5,1,$2.47,$2.47,https://www.aliexpress.us/item/3256811754262338.html,$15.08
Screws,"M3, 10mm",1,$1.94,$1.94,https://www.aliexpress.com/p/shoppingcart/index.html?spm=a2g0o.tm1000056364.header.1.52471bf5lQ3z1L,$17.02 
Rotary Encoder EC11, "20mm", 1, $3.12, $3.12, https://alishort.com/0M4I1,$20.14
Shipping,Aliexpress,1,$0,$0,https://www.aliexpress.us/,$20.14
PCB,JLCPCB,1,$4,$4,https://jlcpcb.com/,$24.14
Shipping,JLCPCB,1,$3.30,$3.30,https://jlcpcb.com/,$27.44
